clip_id,provider,accent,tier,domain,duration,wer,drug_mentions,drug_correct,drug_substitution,drug_deletion,doses,dose_correct,dose_value_error,dose_unit_error,dose_missing,negation_cues,negation_preserved,negation_lost
5f6166b9974aacf66ecec0d39f992fd9,aai,bekwarra,C,general,8.940997732426307,0.13636363636363635,1,1,0,0,0,0,0,0,0,0,0,0
5f64f9fc4a594adc778f0a2700d116e6,aai,yoruba,A,clinical,17.11498866213152,0.0,1,1,0,0,1,1,0,0,0,0,0,0
638d52a920b7ec4ac12b7b6d46746ea7,aai,ibani,C,clinical,4.877981859410431,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,1,0
63a2e9a375b665c32e1a176423c8fbdd,aai,yoruba,A,clinical,7.350997732426304,0.4,1,1,0,0,0,0,0,0,0,1,1,0
63bd1f04d01007bf1a829bf3a0248cf9,aai,ijaw,A,clinical,6.314988662131518,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0
63bd3c234d1d89a65ce8563f55787ac8,aai,swahili,A,clinical,4.138979591836734,0.14285714285714285,0,0,0,0,0,0,0,0,0,1,1,0
63c979f2f450a7598ab6d706308c5e72,aai,luhya,B,general,14.34,0.0,0,0,0,0,0,0,0,0,0,1,1,0
660a4f125c61654b1ccc5df0cdd955bd,aai,yoruba,A,clinical,10.613990929705215,0.20833333333333334,0,0,0,0,0,0,0,0,0,1,1,0
66b5e37d3c6fb622de9b645a11e45b87,aai,luganda,B,clinical,9.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0
66c7d017a7af1535c058dcb212c785fd,aai,zulu,B,clinical,11.388979591836732,0.13333333333333333,1,1,0,0,0,0,0,0,0,0,0,0
681828fe9911e1c031e3a1023f5cba16,aai,igbo,A,clinical,15.0,0.0,2,2,0,0,1,1,0,0,0,0,0,0
68d7b378f686a4ea235df042be92df7c,aai,yoruba,A,clinical,10.105986394557824,0.0,0,0,0,0,1,1,0,0,0,0,0,0
690e5686be737d2bbc1ef25ff48022e5,aai,urhobo,B,clinical,18.18,0.0,0,0,0,0,1,1,0,0,0,0,0,0
6934807f8bcbf16699578867c7a078e3,aai,ijaw,A,clinical,3.132993197278912,0.0,0,0,0,0,0,0,0,0,0,0,0,0
695771856cc6a19aadcc9c02daeb816b,aai,estako,C,clinical,21.156984126984128,0.0,2,2,0,0,2,2,0,0,0,0,0,0
69b6cd5f741af0799aed46db39c2b3ce,aai,jukun,C,clinical,3.9049886621315193,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6afed7fe39a177c3d510b925d8267a94,aai,swahili,A,general,12.713990929705217,0.09090909090909091,2,2,0,0,0,0,0,0,0,0,0,0
6b04e26e9a6a0c78b1b053f3bc86534e,aai,ijaw,A,clinical,4.593990929705216,0.4444444444444444,0,0,0,0,0,0,0,0,0,1,1,0
6b06a665f4acd27ba438a1e8410936ab,aai,igbo,A,general,13.686984126984129,0.0,0,0,0,0,0,0,0,0,0,1,1,0
6b1ac9fd68036319be02c4d34443986a,aai,ngas,C,clinical,7.603990929705215,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6b5cffdaf93ef9014d308fa283eb3d10,aai,ibibio,B,general,11.521,0.05,0,0,0,0,0,0,0,0,0,1,1,0
6b651083464881a4c3cad2643975b853,aai,kinyarwanda,B,clinical,14.020997732426304,0.0,0,0,0,0,0,0,0,0,0,1,1,0
