provider,accent,clips,wer,drug_mentions,drug_accuracy,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
dg-medical,kubi,2,0.22813990461049286,1,1.0,0,0,,0,0,1,1.0
dg-medical,luganda,7,0.2684240362811791,0,,0,0,,0,0,4,1.0
dg-medical,luhya,7,0.24175738109008785,4,0.75,0,1,1.0,0,0,4,1.0
dg-medical,luo,2,0.30625,2,0.5,1,0,,0,0,1,1.0
dg-medical,mada,2,0.5775401069518716,3,0.6666666666666666,0,2,1.0,0,0,0,
dg-medical,mwaghavul,2,0.23076923076923078,2,1.0,0,2,1.0,0,0,0,
dg-medical,nembe,4,0.27976190476190477,0,,0,0,,0,0,0,
dg-medical,ngas,2,0.30000000000000004,0,,0,0,,0,0,0,
dg-medical,nyandang,1,1.0,0,,0,1,1.0,0,0,0,
dg-medical,obolo,1,0.22727272727272727,1,1.0,0,0,,0,0,0,
dg-medical,ogbia,1,0.3,0,,0,0,,0,0,1,1.0
dg-medical,ogoni,1,0.07692307692307693,1,0.0,0,0,,0,0,0,
dg-medical,oklo,1,0.20689655172413793,0,,0,1,1.0,0,0,0,
dg-medical,pidgin,7,0.2890672160041235,1,0.0,0,1,0.0,1,0,3,1.0
dg-medical,sepedi,1,0.29411764705882354,1,1.0,0,0,,0,0,0,
dg-medical,sesotho,1,0.2631578947368421,1,0.0,0,0,,0,0,0,
dg-medical,setswana,7,0.2724580741387464,3,1.0,0,0,,0,0,2,1.0
dg-medical,sotho,1,0.0,0,,0,0,,0,0,1,1.0
dg-medical,swahili,26,0.27094560163672116,11,1.0,0,5,1.0,0,0,19,0.8421052631578947
dg-medical,tshivenda,1,0.14285714285714285,0,,0,0,,0,0,1,1.0
dg-medical,tswana,7,0.3458874458874459,0,,0,1,1.0,0,0,0,
dg-medical,twi,7,0.38237355548279917,2,1.0,0,0,,0,0,4,1.0
dg-medical,ukwuani,1,0.5333333333333333,0,,0,1,1.0,0,0,0,
dg-medical,urhobo,7,0.3266233766233766,0,,0,1,1.0,0,0,4,1.0
dg-medical,xhosa,7,0.3582903207903208,2,0.5,0,0,,0,0,3,1.0
dg-medical,yoruba,26,0.3918750877632457,6,1.0,0,12,0.75,0,0,19,0.8421052631578947
dg-medical,zulu,7,0.2877959808098454,3,0.6666666666666666,0,1,1.0,0,0,3,1.0
gemini,afemai,1,0.48,0,,0,1,1.0,0,0,0,
gemini,afo,3,0.19212962962962962,1,1.0,0,0,,0,0,1,1.0
gemini,afrikaans,2,0.4875,0,,0,0,,0,0,2,1.0
gemini,agatu,2,0.5654761904761905,0,,0,1,1.0,0,0,1,1.0
gemini,akan,3,0.2752898550724638,2,1.0,0,0,,0,0,2,1.0
gemini,alago,1,0.36363636363636365,0,,0,0,,0,0,1,1.0
gemini,anaang,3,0.15128205128205127,2,1.0,0,1,1.0,0,0,3,1.0
gemini,angas,3,0.4549382716049383,0,,0,1,0.0,0,0,4,1.0
gemini,bagi,2,0.2511111111111111,1,1.0,0,2,1.0,0,0,0,
gemini,bajju,3,0.18999615975422426,0,,0,2,1.0,0,0,1,1.0
gemini,bassa,2,0.11805555555555555,4,1.0,0,3,1.0,0,0,0,
gemini,bekwarra,3,0.344988344988345,1,1.0,0,0,,0,0,1,1.0
gemini,benin,1,0.5,0,,0,0,,0,0,0,
gemini,berom,3,0.24384236453201968,0,,0,2,0.5,0,0,1,1.0
gemini,bini,3,0.3007936507936508,0,,0,2,1.0,0,0,0,
gemini,brass,3,0.1615159034513873,1,1.0,0,1,1.0,0,0,1,1.0
gemini,delta,3,0.41250000000000003,0,,0,1,0.0,0,0,2,1.0
gemini,ebiobo,3,0.4421296296296296,0,,0,0,,0,0,1,1.0
gemini,ebira,9,0.33040756833860285,1,1.0,0,7,0.8571428571428571,1,0,2,1.0
gemini,edo,1,0.2,0,,0,0,,0,0,2,1.0
gemini,efik,2,1.3076923076923077,3,0.3333333333333333,1,4,1.0,0,0,0,
gemini,eggon,3,0.27843137254901956,0,,0,1,1.0,0,0,1,1.0
gemini,ekene,3,0.28476190476190477,2,1.0,0,2,1.0,0,0,0,
gemini,eket,2,0.25,3,1.0,0,1,1.0,0,0,0,
gemini,ekpeye,3,0.4365942028985507,0,,0,3,1.0,0,0,2,1.0
gemini,eleme,2,0.4727272727272727,2,1.0,0,2,1.0,0,0,0,
gemini,english,3,0.25411866716214543,1,1.0,0,0,,0,0,3,1.0
gemini,epie,3,0.3181511470985155,1,1.0,0,2,1.0,0,0,1,1.0
gemini,esan,6,0.21009480715363069,0,,0,0,,0,0,0,
gemini,estako,2,0.6481481481481481,3,0.3333333333333333,2,3,0.6666666666666666,1,0,0,
gemini,etche,3,0.8166666666666668,1,0.0,0,3,0.3333333333333333,0,1,1,1.0
gemini,etsako,2,0.5972222222222222,6,0.6666666666666666,0,2,1.0,0,0,0,
gemini,fulani,3,0.2896825396825397,0,,0,1,1.0,0,0,2,1.0
gemini,gbagyi,3,0.3133333333333333,1,0.0,0,3,1.0,0,0,0,
gemini,hausa,28,0.3244982664365386,15,0.4666666666666667,1,17,0.5294117647058824,1,0,14,0.9285714285714286
gemini,ibani,3,0.17663817663817663,0,,0,1,1.0,0,0,2,1.0
gemini,ibibio,9,0.27439980451489404,2,0.5,0,2,1.0,0,0,6,1.0
gemini,idah,2,0.7057416267942584,0,,0,4,0.75,0,0,0,
gemini,idoma,9,0.43080868695837915,10,0.6,0,7,0.7142857142857143,1,0,1,1.0
gemini,igala,8,0.3111988705738706,1,1.0,0,0,,0,0,1,1.0
gemini,igarra,3,0.5291666666666667,1,0.0,0,2,0.5,0,0,1,1.0
gemini,igbo,28,0.3437013322393269,9,0.8888888888888888,0,16,0.875,2,0,15,0.8666666666666667
gemini,ijaw,27,0.38070841488747725,3,0.6666666666666666,0,5,1.0,0,0,10,0.9
gemini,ika,3,0.20000000000000004,0,,0,2,1.0,0,0,1,1.0
gemini,ikulu,2,0.16666666666666666,2,1.0,0,1,1.0,0,0,1,1.0
gemini,ishan,2,0.29166666666666663,0,,0,2,1.0,0,0,0,
gemini,isixhosa,2,0.10250000000000001,2,0.5,1,0,,0,0,1,1.0
gemini,isizulu,9,0.26921077622832007,7,0.7142857142857143,0,0,,0,0,3,1.0
gemini,isoko,2,0.25,1,1.0,0,1,1.0,0,0,0,
gemini,itsekiri,2,0.15,1,1.0,0,2,0.5,1,0,0,
gemini,izon,2,0.3997252747252747,0,,0,1,1.0,0,0,1,1.0
gemini,jaba,2,0.6527777777777778,2,0.5,0,0,,0,0,0,
gemini,jukun,2,0.34375,0,,0,0,,0,0,0,
gemini,kalabari,2,0.6694444444444444,2,0.5,0,0,,0,0,2,1.0
gemini,kanuri,2,0.4722222222222222,2,1.0,0,2,1.0,0,0,0,
gemini,khana,2,0.7706766917293233,1,1.0,0,1,1.0,0,0,0,
gemini,kikuyu,2,0.20723684210526316,0,,0,0,,0,0,2,1.0
gemini,kinyarwanda,8,0.3077393188458179,3,0.6666666666666666,0,0,,0,0,5,0.8
gemini,kiswahili,6,0.2725783475783476,1,1.0,0,1,1.0,0,0,1,1.0
gemini,kubi,2,0.3298887122416534,1,1.0,0,0,,0,0,1,1.0
gemini,luganda,7,0.37329931972789115,0,,0,0,,0,0,4,1.0
gemini,luhya,7,0.21426850092263625,4,1.0,0,1,1.0,0,0,4,1.0
gemini,luo,2,0.225,2,1.0,0,0,,0,0,1,1.0
gemini,mada,2,0.4304812834224599,3,1.0,0,2,1.0,0,0,0,
gemini,mwaghavul,2,0.2976190476190476,2,0.0,0,2,1.0,0,0,0,
gemini,nembe,4,0.5321428571428571,0,,0,0,,0,0,0,
gemini,ngas,2,0.30000000000000004,0,,0,0,,0,0,0,
gemini,nyandang,1,0.6,0,,0,1,0.0,0,0,0,
gemini,obolo,1,0.22727272727272727,1,1.0,0,0,,0,0,0,
gemini,ogbia,1,0.3,0,,0,0,,0,0,1,1.0
gemini,ogoni,1,0.3076923076923077,1,0.0,0,0,,0,0,0,
gemini,oklo,1,0.13793103448275862,0,,0,1,1.0,0,0,0,
gemini,pidgin,7,0.2722792142537157,1,0.0,0,1,0.0,1,0,3,1.0
gemini,sepedi,1,0.4117647058823529,1,0.0,0,0,,0,0,0,
gemini,sesotho,1,0.3157894736842105,1,1.0,0,0,,0,0,0,
gemini,setswana,7,0.23999054167121395,3,1.0,0,0,,0,0,2,1.0
gemini,sotho,1,0.14285714285714285,0,,0,0,,0,0,1,1.0
gemini,swahili,26,0.2620659324881733,11,0.7272727272727273,0,5,1.0,0,0,19,0.8421052631578947
gemini,tshivenda,1,0.14285714285714285,0,,0,0,,0,0,1,1.0
gemini,tswana,7,0.25037105751391464,0,,0,1,1.0,0,0,0,
